labels,syn,bsyn
1101_3x1012_3,0.715186,0.731515
1101_3x1013_3,0.739465,0.745325
1101_3x1014_3,0.730582,0.739264
1101_3x1015_3,0.68622,0.693265
1101_3x1017_3,0.715072,0.717511
1101_3x1036_3,0.690961,0.711943
1104_3x1000_3,0.728722,0.731739
1104_3x1001_3,0.700637,0.714555
1104_3x1002_3,0.696055,0.707066
1104_3x1006_3,0.699106,0.72166
1104_3x1007_3,0.724094,0.729463
1104_3x1008_3,0.70882,0.709697
1104_3x1009_3,0.730205,0.733042
1104_3x1010_3,0.734909,0.742078
1104_3x1011_3,0.724046,0.730821
1104_3x1012_3,0.741914,0.742896
1104_3x1013_3,0.727273,0.729725
1104_3x1014_3,0.733596,0.734847
1104_3x1015_3,0.678451,0.703991
1104_3x1017_3,0.703138,0.70759
1104_3x1036_3,0.720474,0.7255
1107_3x1000_3,0.728442,0.735537
1107_3x1001_3,0.718487,0.725111
1107_3x1002_3,0.705119,0.710267
1107_3x1006_3,0.730761,0.731632
1107_3x1007_3,0.733306,0.737531
1107_3x1008_3,0.71386,0.715599
1107_3x1009_3,0.722126,0.729622
1107_3x1010_3,0.721169,0.728099
1107_3x1011_3,0.718685,0.729107
1107_3x1012_3,0.733847,0.740855
1107_3x1013_3,0.733175,0.736573
1107_3x1014_3,0.720411,0.723665
1107_3x1015_3,0.72878,0.736078
1107_3x1017_3,0.729068,0.73085
1107_3x1036_3,0.702659,0.711215
1110_3x1000_3,0.632444,0.660922
1110_3x1001_3,0.728604,0.734274
1110_3x1002_3,0.633291,0.656911
1110_3x1006_3,0.702535,0.717775
1110_3x1007_3,0.729129,0.737296
1110_3x1008_3,0.717456,0.719955
1110_3x1009_3,0.707583,0.714742
1110_3x1010_3,0.720648,0.728813
1110_3x1011_3,0.706482,0.713811
1110_3x1012_3,0.722898,0.729713
1110_3x1013_3,0.728983,0.733402
1110_3x1014_3,0.737304,0.741747
1110_3x1015_3,0.705224,0.714889
1110_3x1017_3,0.676925,0.703706
1110_3x1036_3,0.696378,0.713548
1113_3x1000_3,0.714366,0.720793
1113_3x1001_3,0.726598,0.724106
1113_3x1002_3,0.674352,0.699943
1113_3x1006_3,0.722538,0.734032
1113_3x1007_3,0.723877,0.725422
1113_3x1008_3,0.729561,0.733829
1113_3x1009_3,0.723723,0.726673
1113_3x1010_3,0.729737,0.731429
1113_3x1011_3,0.726656,0.732111
1113_3x1012_3,0.721895,0.730784
1113_3x1013_3,0.737128,0.737501
1113_3x1014_3,0.739594,0.740306
1113_3x1015_3,0.712292,0.715254
1113_3x1017_3,0.714546,0.721646
1113_3x1036_3,0.69744,0.715119
1116_3x1000_3,0.721062,0.7257
1116_3x1001_3,0.675247,0.699977
1116_3x1002_3,0.694215,0.699323
1116_3x1006_3,0.704997,0.718855
1116_3x1007_3,0.67581,0.691295
1116_3x1008_3,0.697879,0.703269
1116_3x1009_3,0.703341,0.711005
1116_3x1010_3,0.722296,0.729212
1116_3x1011_3,0.709218,0.71848
1116_3x1012_3,0.701773,0.716091
1116_3x1013_3,0.716301,0.727137
1116_3x1014_3,0.710035,0.715139
1116_3x1015_3,0.687048,0.699416
1116_3x1017_3,0.704604,0.712468
1116_3x1036_3,0.71095,0.719306
1119_3x1000_3,0.680694,0.688796
1119_3x1001_3,0.685386,0.694134
1119_3x1002_3,0.659206,0.675796
1119_3x1006_3,0.711363,0.715349
1119_3x1007_3,0.692312,0.699117
1119_3x1008_3,0.704745,0.711385
1119_3x1009_3,0.691009,0.695967
1119_3x1010_3,0.681518,0.681527
1119_3x1011_3,0.687959,0.701281
1119_3x1012_3,0.697519,0.703303
1119_3x1013_3,0.69922,0.706789
1119_3x1014_3,0.703136,0.708262
1119_3x1015_3,0.702815,0.708975
1119_3x1017_3,0.667413,0.680779
1119_3x1036_3,0.699156,0.71039
1122_3x1000_3,0.737439,0.739975
1122_3x1001_3,0.710703,0.724535
1122_3x1002_3,0.731002,0.731167
1122_3x1006_3,0.729727,0.741932
1122_3x1007_3,0.719916,0.726263
1122_3x1008_3,0.713465,0.717548
1122_3x1009_3,0.713387,0.718871
1122_3x1010_3,0.719569,0.728456
1122_3x1011_3,0.724893,0.734456
1122_3x1012_3,0.709557,0.716927
1122_3x1013_3,0.726607,0.741131
1122_3x1014_3,0.722527,0.724319
1122_3x1015_3,0.706476,0.720544
1122_3x1017_3,0.715166,0.720346
1122_3x1036_3,0.71717,0.729174
1125_3x1000_3,0.690526,0.700643
1125_3x1001_3,0.703841,0.711079
1125_3x1002_3,0.707448,0.720964
1125_3x1006_3,0.704172,0.708263
1125_3x1007_3,0.706546,0.718122
1125_3x1008_3,0.718162,0.72613
1125_3x1009_3,0.70057,0.705779
1125_3x1010_3,0.710951,0.724089
1125_3x1011_3,0.714987,0.717907
1125_3x1012_3,0.69913,0.705133
1125_3x1013_3,0.713831,0.716269
1125_3x1014_3,0.700389,0.705194
1125_3x1015_3,0.705773,0.719526
1125_3x1017_3,0.697623,0.701804
1125_3x1036_3,0.707201,0.718989
1128_3x1000_3,0.699143,0.707459
1128_3x1001_3,0.681571,0.682645
1128_3x1002_3,0.682301,0.683909
1128_3x1006_3,0.683758,0.698796
1128_3x1007_3,0.688295,0.689888
1128_3x1008_3,0.680848,0.685824
1128_3x1009_3,0.689551,0.695189
1128_3x1010_3,0.701727,0.706404
1128_3x1011_3,0.678527,0.690563
1128_3x1012_3,0.669799,0.680292
1128_3x1013_3,0.697041,0.701483
1128_3x1014_3,0.692218,0.695798
1128_3x1015_3,0.690626,0.698072
1128_3x1017_3,0.665143,0.669133
1128_3x1036_3,0.662039,0.673541
