LABEL_1,LABEL_2,LABEL_3,LABEL_4,LABEL_5,LABEL_6,LABEL_7,LABEL_8,LABEL_9,LABEL_10,LABEL_11,LABEL_12,LABEL_13,LABEL_14,LABEL_15,LABEL_16,LABEL_17,LABEL_18,LABEL_19,LABEL_20,LABEL_21,LABEL_22,LABEL_23,LABEL_24,LABEL_25,LABEL_26,LABEL_27,LABEL_28,LABEL_29,LABEL_30,LABEL_31,LABEL_32
25672,25421,12631,11928,7098,6199,9532,11096,13879,10923,33370,29154,12611,10973,5928,6480,21256,23098,19452,17276,8400,10515,14005,13779,18252,19181,16936,17215,21107,21236,15464,11095
23768,25017,13873,14263,5931,5676,7543,8656,15319,13314,32336,33244,10311,8767,5111,6023,23486,22253,19232,20309,9581,10962,14290,13503,18429,18202,21710,20568,25628,26175,14888,14396
27765,26399,13244,12263,6847,6303,8202,11154,14968,12389,31410,30463,11908,10110,4963,5635,22920,23027,19236,19534,8501,10218,12986,13853,19041,19227,18913,19437,23452,24210,13275,13427
23954,23609,11423,10601,6066,5776,6455,6685,12987,11062,31261,30157,11670,10859,5139,5820,19902,20359,16490,16412,8326,8496,12873,13090,14097,14466,15878,15506,19611,22930,10739,10594
23623,22280,13015,11508,5502,5361,8298,10144,13687,10145,29968,30812,10901,10354,5096,6028,19051,19723,15344,16936,8013,8517,13423,13378,15134,14748,17925,18119,23202,21827,11909,12136
26217,28611,15976,13689,6721,6105,6724,9195,14530,12210,32204,30731,10629,9614,5918,6430,24561,26734,20274,19698,9939,10886,13777,13851,20071,19545,20610,19007,25660,25624,17212,14882
29111,28923,15900,15618,6918,7306,8599,11103,17898,16484,37306,37300,12025,11448,5675,6949,26527,28136,23969,23968,10305,10517,16433,15879,21866,21665,23824,22171,30525,29806,15992,17490
31431,34371,16986,15308,8328,7806,10323,12303,18114,14850,37589,39407,13127,11825,7196,7653,26949,29653,23990,22156,10454,12334,16286,15956,22635,22194,24509,24054,27634,30512,18097,14988
20043,20599,11730,10986,5731,5198,5892,7337,11599,10192,25839,26221,9843,9536,4905,5419,18624,19023,16009,17676,8277,8130,12347,12031,15742,16241,16481,16265,19488,20866,11421,10397
21719,23125,12227,10415,6080,5604,5769,8165,12025,10020,26954,26587,10221,9490,3713,4192,18950,19043,15200,14980,7996,7651,12034,11693,14757,15688,16444,15923,18851,18366,9479,9355
23577,28651,12866,11772,6241,5994,8838,10889,13655,11563,33016,30766,11271,9844,5730,5999,21047,19866,16616,17526,8445,10047,14003,13304,17459,17025,20245,17512,23348,25958,15165,13449
23778,22644,12474,9882,5548,5622,8643,10912,14701,11392,32720,31410,11488,10354,4958,6018,22536,22407,17087,17603,8865,9453,12523,13218,17050,17269,19437,17413,21453,22851,14252,12077
31422,28035,14629,14144,7442,6693,8516,11137,18040,13901,37479,34874,12431,10800,5116,6284,24781,23902,20667,21073,10146,11346,13795,14265,18649,19557,23082,21863,26702,28743,15088,15850
26036,26153,12013,11386,6005,5639,7677,9546,12658,11802,28895,30263,11344,10763,5691,5996,21123,20479,19094,18071,8233,8596,13049,12835,16012,16621,19657,18300,23029,24579,13288,12935
23847,24523,12833,11555,6413,6005,8313,10698,14386,11601,28352,29562,9962,9407,4582,5524,23534,23189,17299,19481,9683,10109,13588,13244,19171,17326,18804,17533,23641,23887,13369,14075
28029,27810,13727,13548,7281,6849,9552,9583,17865,15106,36253,36168,12542,11470,6392,7233,26486,26826,21656,21586,10226,11091,15205,16056,21607,21166,21238,20480,27911,29518,16995,15500
23191,24429,12414,12366,6176,5980,10306,12264,15530,13250,33507,33457,11436,10176,5483,6276,23133,22876,18097,17365,7605,9008,12769,13762,18489,18310,19731,17063,24043,25194,13117,13738
29622,32771,14364,13399,6693,6182,9806,12122,15660,14101,34248,36917,11752,11311,4712,5152,24082,25154,20439,21318,9995,11726,14630,13321,20956,21974,26426,23763,27603,28589,18638,17397
22924,25616,10854,10902,6354,7151,10865,13872,14101,12384,30563,32961,12128,10484,4855,5575,22554,20570,17835,19237,10176,10125,13293,13079,18455,20811,18114,16737,21162,21434,12044,11244
22157,24477,14122,12664,6188,5869,7719,8967,14755,13548,31045,32230,10717,9908,5949,6406,24919,23756,21003,21686,10709,10135,15459,14980,20038,20996,21056,18620,24673,25762,13974,14002
24200,29689,12842,12206,6789,6575,8160,9219,13631,11160,30385,30232,11427,10256,5707,6007,21787,21830,19218,18632,9425,10664,12532,12403,17799,17460,18187,18258,22464,24403,13934,13024
24215,23693,14378,12184,6494,6069,6162,8613,14425,12896,29336,30226,11041,10150,5188,6065,23119,25050,18378,19013,8724,10326,13079,13147,18401,18403,17737,16331,22281,23966,13417,12702
30995,29335,13609,12287,6989,6554,8303,10067,15207,14616,31581,32849,12066,11437,5681,7245,24550,23242,21791,21024,8754,9439,14469,14265,21815,23211,20908,20118,23553,25903,14196,14867
25119,29524,13550,13164,6190,6079,6030,8289,14370,13438,29911,30974,10814,11043,5452,5572,25464,24346,20099,20656,10368,11818,14309,14594,20918,20687,18645,17156,23445,25322,13786,13955
29503,32031,12573,11909,6534,6009,9555,11483,12959,12671,33514,35003,12824,11768,5320,6419,21523,19669,18428,20272,9841,10246,14722,15613,18086,18045,22703,21093,24862,26399,14187,14716
23116,25631,10351,9146,6151,6126,8128,9511,14448,11871,31024,29729,10640,9346,4477,4989,19901,20126,15839,17012,7244,7986,11491,11637,16964,15701,17746,15960,22538,23855,13516,13006
25572,25725,12731,12320,6643,6236,9286,11210,15268,12858,33039,34478,12284,10674,5017,6260,24772,24499,18932,19036,9565,10444,14158,14787,20126,19998,19496,18328,23768,25520,13599,12810
29335,30382,14493,12750,6583,6485,6175,7538,14380,12009,28752,30043,10330,10444,5702,5923,20390,22237,19769,20025,10327,10217,14254,13650,15790,15505,18866,18174,22023,25348,11225,11742
21608,23617,11398,10661,6200,6076,5781,6405,12068,11257,26630,26515,10274,9691,4491,6009,19445,19486,16424,15932,7346,9176,12530,12787,16266,15382,17446,16337,21092,21310,12917,12975
22935,27388,13341,12488,7221,6708,7951,9984,15508,14917,34845,35509,11379,10390,6567,6579,21951,22281,21770,20211,9783,10233,14807,15058,18361,18601,21968,19588,27226,28086,15509,13732
20285,22023,12863,12006,6295,6204,6683,8824,11716,9134,28735,28579,10382,10075,5525,5438,20938,19758,15120,16734,8581,8346,13387,12622,15181,16459,16615,16881,20602,22200,11612,10906
25449,22238,10844,10745,6233,6109,7402,8253,11320,10198,28689,26714,10231,11001,4888,6247,20404,21978,17320,15771,8075,8932,12377,12147,14250,14033,17476,15650,20467,20220,11846,10962
25488,27277,11577,11518,7596,6746,7653,9603,15148,10776,34473,28128,12413,11417,5891,5851,22048,21892,19920,18853,10983,11220,15053,13064,17542,17365,19506,17487,22210,22609,11791,10552
25713,29374,12897,11868,6428,6230,7485,9593,15388,13437,30657,28693,11300,10533,6007,6143,24678,27120,20050,19356,10475,11418,14028,13385,20992,19581,21933,17939,22106,24411,13229,13745
25929,27770,13826,12689,7250,6348,8219,9463,14005,12385,31948,32186,11357,10123,5450,6235,24119,24201,18858,18438,9191,9532,14069,13394,19056,19941,18479,16685,22869,25047,14891,14573
27873,28944,14841,13509,7452,7033,9920,13626,16963,13512,35696,35459,13514,13289,6826,7628,28547,26729,20953,20799,10643,10680,15563,15881,20254,20736,20726,20524,25087,25691,14459,13580
24713,26838,12499,10692,6932,6564,7575,9486,15064,11936,31282,33269,11691,10664,5568,6169,20799,20093,19100,20299,9201,9361,13902,13914,16740,15639,17627,16218,21929,22928,11744,11236
28553,32205,14843,12264,7434,7096,9591,11044,17723,15920,38469,38793,12264,11094,6631,8739,25679,26026,21656,21480,9332,10652,15856,15895,21597,21560,24293,22775,29959,32430,15815,16063
30233,31741,15280,12918,7559,7467,7899,4911,17064,11966,34548,23752,12602,8435,4573,5906,26512,27136,24235,24399,11202,12060,15022,15959,21833,20986,23668,22842,26510,27801,15924,13972
31330,34222,15817,14493,7025,6583,9638,13119,16762,14156,37842,39110,13566,12676,6412,7185,23992,24829,20320,19808,9741,12693,15042,15710,17899,18538,21288,18938,25062,28692,14832,14657
19614,18009,11638,10564,5328,5585,5917,7892,12049,10028,24735,24595,9566,8867,3464,4466,18747,16622,15180,16441,8048,8142,11887,10944,15010,15511,15981,14090,18097,19384,11353,11851
