Subject,Edema1,Tumor1,Edema2,Tumor2
BRATS_HG0001,0.725408,0.919713,0.780169,0.937595
BRATS_HG0002,0.647491,0.729559,0.742137,0.846905
BRATS_HG0003,0.821948,0.76852,0.869294,0.913428
BRATS_HG0004,0.535203,0.50276,0.500317,0.451798
BRATS_HG0005,0.668254,0.450764,0.600778,0.384939
BRATS_HG0006,0.73933,0.740684,0.741266,0.728536
BRATS_HG0007,0.641575,0.844025,0.582027,0.811979
BRATS_HG0008,0.840952,0.89102,0.858839,0.93019
BRATS_HG0009,0.831774,0.75062,0.828802,0.709383
BRATS_HG0010,0.302247,0.261721,0.438485,0.526614
BRATS_HG0011,0.832837,0.88989,0.83413,0.915527
BRATS_HG0012,0.676322,0.00211896,0.694415,0
BRATS_HG0013,0.58147,0.910335,0.75673,0.940363
BRATS_HG0014,0.37652,0.710492,0.315728,0.654564
BRATS_HG0015,0.748765,0.85775,0.800783,0.889443
BRATS_HG0022,0.7644,0.795136,0.793542,0.82784
BRATS_HG0024,0.56084,0.827672,0.621892,0.856028
BRATS_HG0025,0.417037,0.158853,0.495303,0.148884
BRATS_HG0026,0.719447,0.30211,0.708355,0.132529
BRATS_HG0027,0.609139,0.79434,0.630833,0.767429
